user;month;type;class;category
bta1_6;6;bta;bta1;residential
bta1_6;7;bta;bta1;residential
bta1_6;8;bta;bta1;residential
bta1_6;9;bta;bta1;residential
bta1_6;10;bta;bta1;residential
bta1_6;11;bta;bta1;residential
bta1_6;12;bta;bta1;residential
bta4_c1;1;bta;bta4;municipal
bta4_c1;2;bta;bta4;municipal
bta4_c1;3;bta;bta4;municipal
bta4_c1;4;bta;bta4;municipal
bta4_c1;5;bta;bta4;municipal
bta4_c1;6;bta;bta4;municipal
bta4_c1;7;bta;bta4;municipal
bta4_c1;8;bta;bta4;municipal
bta4_c1;9;bta;bta4;municipal
bta4_c1;10;bta;bta4;municipal
bta4_c1;11;bta;bta4;municipal
bta4_c1;12;bta;bta4;municipal
bta5_4;1;bta;bta5;cultural_and_sports
bta5_4;5;bta;bta5;cultural_and_sports
bta5_4;6;bta;bta5;cultural_and_sports
bta5_4;7;bta;bta5;cultural_and_sports
bta5_4;8;bta;bta5;cultural_and_sports
bta5_4;9;bta;bta5;cultural_and_sports
bta5_4;10;bta;bta5;cultural_and_sports
bta5_4;11;bta;bta5;cultural_and_sports
bta5_4;12;bta;bta5;cultural_and_sports
dom2_5;1;dom;dom1_2;household
dom2_5;2;dom;dom1_2;household
dom2_5;3;dom;dom1_2;household
dom2_5;4;dom;dom1_2;household
dom2_5;5;dom;dom1_2;household
dom2_5;6;dom;dom1_2;household
dom2_5;7;dom;dom1_2;household
dom2_5;8;dom;dom1_2;household
dom2_5;9;dom;dom1_2;household
dom2_5;10;dom;dom1_2;household
dom2_5;11;dom;dom1_2;household
dom2_5;12;dom;dom1_2;household
dom3_4;1;dom;dom3;household
dom3_4;2;dom;dom3;household
dom3_4;3;dom;dom3;household
dom3_4;4;dom;dom3;household
dom3_4;5;dom;dom3;household
dom3_4;6;dom;dom3;household
dom3_4;7;dom;dom3;household
dom3_4;8;dom;dom3;household
dom3_4;9;dom;dom3;household
dom3_4;10;dom;dom3;household
dom3_4;11;dom;dom3;household
dom3_4;12;dom;dom3;household
dom4_3;1;dom;dom4;household
dom4_3;2;dom;dom4;household
dom4_3;3;dom;dom4;household
dom4_3;4;dom;dom4;household
dom4_3;5;dom;dom4;household
dom4_3;6;dom;dom4;household
dom4_3;7;dom;dom4;household
dom4_3;8;dom;dom4;household
dom4_3;9;dom;dom4;household
dom4_3;10;dom;dom4;household
dom4_3;11;dom;dom4;household
dom4_3;12;dom;dom4;household
bta3_4;1;bta;bta3;commercial
bta3_4;2;bta;bta3;commercial
bta3_4;3;bta;bta3;commercial
bta3_4;4;bta;bta3;commercial
bta3_4;5;bta;bta3;commercial
bta3_4;6;bta;bta3;commercial
bta3_4;7;bta;bta3;commercial
bta3_4;8;bta;bta3;commercial
bta3_4;9;bta;bta3;commercial
bta3_4;10;bta;bta3;commercial
bta3_4;11;bta;bta3;commercial
bta3_4;12;bta;bta3;commercial
dom3_1;1;dom;dom3;household
dom3_1;2;dom;dom3;household
dom3_1;3;dom;dom3;household
dom3_1;4;dom;dom3;household
dom3_1;5;dom;dom3;household
dom3_1;6;dom;dom3;household
dom3_1;7;dom;dom3;household
dom3_1;8;dom;dom3;household
dom3_1;9;dom;dom3;household
dom3_1;10;dom;dom3;household
dom3_1;11;dom;dom3;household
dom3_1;12;dom;dom3;household
bta4_7;1;bta;bta4;residential
bta4_7;2;bta;bta4;residential
bta4_7;3;bta;bta4;residential
bta4_7;4;bta;bta4;residential
bta4_7;5;bta;bta4;residential
bta4_7;6;bta;bta4;residential
bta4_7;7;bta;bta4;residential
bta4_7;8;bta;bta4;residential
bta4_7;9;bta;bta4;residential
bta4_7;10;bta;bta4;residential
bta4_7;11;bta;bta4;residential
bta4_7;12;bta;bta4;residential
bta5_5;1;bta;bta5;commercial
bta5_5;2;bta;bta5;commercial
bta5_5;3;bta;bta5;commercial
bta5_5;4;bta;bta5;commercial
bta5_5;5;bta;bta5;commercial
bta5_5;6;bta;bta5;commercial
bta5_5;7;bta;bta5;commercial
bta5_5;8;bta;bta5;commercial
bta5_5;9;bta;bta5;commercial
bta5_5;10;bta;bta5;commercial
bta5_5;11;bta;bta5;commercial
bta5_5;12;bta;bta5;commercial
bta2_c2;2;bta;bta2;cultural_and_sports
bta2_c2;3;bta;bta2;cultural_and_sports
bta2_c2;4;bta;bta2;cultural_and_sports
bta2_c2;5;bta;bta2;cultural_and_sports
bta2_c2;6;bta;bta2;cultural_and_sports
bta2_c2;7;bta;bta2;cultural_and_sports
bta2_c2;8;bta;bta2;cultural_and_sports
bta2_c2;9;bta;bta2;cultural_and_sports
bta2_c2;12;bta;bta2;cultural_and_sports
bta1_4;1;bta;bta1;residential
bta1_4;2;bta;bta1;residential
bta1_4;3;bta;bta1;residential
bta1_4;4;bta;bta1;residential
bta1_4;5;bta;bta1;residential
bta1_4;6;bta;bta1;residential
bta1_4;7;bta;bta1;residential
bta1_4;8;bta;bta1;residential
bta1_4;9;bta;bta1;residential
bta1_4;10;bta;bta1;residential
bta1_4;12;bta;bta1;residential
bta1_5;1;bta;bta1;bta1
bta1_5;2;bta;bta1;bta1
bta1_5;3;bta;bta1;bta1
bta1_5;4;bta;bta1;bta1
bta1_5;5;bta;bta1;bta1
bta1_5;6;bta;bta1;bta1
bta1_5;7;bta;bta1;bta1
bta1_5;8;bta;bta1;bta1
bta1_5;9;bta;bta1;bta1
bta1_5;10;bta;bta1;bta1
bta1_5;11;bta;bta1;bta1
bta1_5;12;bta;bta1;bta1
bta4_10;1;bta;bta4;residential
bta4_10;2;bta;bta4;residential
bta4_10;3;bta;bta4;residential
bta4_10;4;bta;bta4;residential
bta4_10;5;bta;bta4;residential
bta4_10;6;bta;bta4;residential
bta4_10;7;bta;bta4;residential
bta4_10;8;bta;bta4;residential
bta4_10;9;bta;bta4;residential
bta4_10;10;bta;bta4;residential
bta4_10;11;bta;bta4;residential
bta4_10;12;bta;bta4;residential
dom4_1;1;dom;dom4;household
dom4_1;2;dom;dom4;household
dom4_1;3;dom;dom4;household
dom4_1;4;dom;dom4;household
dom4_1;5;dom;dom4;household
dom4_1;6;dom;dom4;household
dom4_1;7;dom;dom4;household
dom4_1;8;dom;dom4;household
dom4_1;9;dom;dom4;household
dom4_1;10;dom;dom4;household
dom4_1;11;dom;dom4;household
dom4_1;12;dom;dom4;household
bta6_c5;1;bta;bta6;cultural_and_sports
bta6_c5;2;bta;bta6;cultural_and_sports
bta6_c5;3;bta;bta6;cultural_and_sports
bta6_c5;4;bta;bta6;cultural_and_sports
bta6_c5;5;bta;bta6;cultural_and_sports
bta6_c5;6;bta;bta6;cultural_and_sports
bta6_c5;7;bta;bta6;cultural_and_sports
bta6_c5;8;bta;bta6;cultural_and_sports
bta6_c5;9;bta;bta6;cultural_and_sports
bta6_c5;10;bta;bta6;cultural_and_sports
bta6_c5;11;bta;bta6;cultural_and_sports
bta6_c5;12;bta;bta6;cultural_and_sports
bta1_7;6;bta;bta1;office
bta4_3;1;bta;bta4;residential
bta4_3;2;bta;bta4;residential
bta4_3;3;bta;bta4;residential
bta4_3;4;bta;bta4;residential
bta4_3;5;bta;bta4;residential
bta4_3;6;bta;bta4;residential
bta4_3;7;bta;bta4;residential
bta4_3;8;bta;bta4;residential
bta4_3;9;bta;bta4;residential
bta4_3;10;bta;bta4;residential
bta4_3;11;bta;bta4;residential
bta4_3;12;bta;bta4;residential
bta2_4;1;bta;bta2;office
bta2_4;2;bta;bta2;office
bta2_4;3;bta;bta2;office
bta2_4;4;bta;bta2;office
bta2_4;5;bta;bta2;office
bta2_4;6;bta;bta2;office
bta2_4;7;bta;bta2;office
bta2_4;8;bta;bta2;office
bta2_4;9;bta;bta2;office
bta2_4;10;bta;bta2;office
bta2_4;11;bta;bta2;office
bta2_4;12;bta;bta2;office
bta6_c6;1;bta;bta6;municipal
bta6_c6;2;bta;bta6;municipal
bta6_c6;3;bta;bta6;municipal
bta6_c6;4;bta;bta6;municipal
bta6_c6;5;bta;bta6;municipal
bta6_c6;6;bta;bta6;municipal
bta6_c6;7;bta;bta6;municipal
bta6_c6;8;bta;bta6;municipal
bta6_c6;9;bta;bta6;municipal
bta6_c6;10;bta;bta6;municipal
bta6_c6;11;bta;bta6;municipal
bta6_c6;12;bta;bta6;municipal
bta6l_3;1;bta;bta6;commercial
bta6l_3;2;bta;bta6;commercial
bta6l_3;3;bta;bta6;commercial
bta6l_3;4;bta;bta6;commercial
bta6l_3;5;bta;bta6;commercial
bta6l_3;6;bta;bta6;commercial
bta6l_3;7;bta;bta6;commercial
bta6l_3;8;bta;bta6;commercial
bta6l_3;9;bta;bta6;commercial
bta6l_3;10;bta;bta6;commercial
bta6l_3;11;bta;bta6;commercial
bta6l_3;12;bta;bta6;commercial
bta6_c4;1;bta;bta6;municipal
bta6_c4;2;bta;bta6;municipal
bta6_c4;3;bta;bta6;municipal
bta6_c4;4;bta;bta6;municipal
bta6_c4;5;bta;bta6;municipal
bta6_c4;6;bta;bta6;municipal
bta6_c4;7;bta;bta6;municipal
bta6_c4;8;bta;bta6;municipal
bta6_c4;9;bta;bta6;municipal
bta6_c4;10;bta;bta6;municipal
bta6_c4;11;bta;bta6;municipal
bta6_c4;12;bta;bta6;municipal
dom3_9;1;dom;dom3;household
dom3_9;2;dom;dom3;household
dom3_9;3;dom;dom3;household
dom3_9;4;dom;dom3;household
dom3_9;5;dom;dom3;household
dom3_9;6;dom;dom3;household
dom3_9;7;dom;dom3;household
dom3_9;8;dom;dom3;household
dom3_9;9;dom;dom3;household
dom3_9;10;dom;dom3;household
dom3_9;11;dom;dom3;household
dom3_9;12;dom;dom3;household
bta2_c1;1;bta;bta2;cultural_and_sports
bta2_c1;2;bta;bta2;cultural_and_sports
bta2_c1;3;bta;bta2;cultural_and_sports
bta2_c1;4;bta;bta2;cultural_and_sports
bta2_c1;5;bta;bta2;cultural_and_sports
bta2_c1;6;bta;bta2;cultural_and_sports
bta2_c1;7;bta;bta2;cultural_and_sports
bta2_c1;8;bta;bta2;cultural_and_sports
bta2_c1;9;bta;bta2;cultural_and_sports
bta2_c1;10;bta;bta2;cultural_and_sports
bta2_c1;11;bta;bta2;cultural_and_sports
bta2_c1;12;bta;bta2;cultural_and_sports
bta2_9;1;bta;bta2;office
bta2_9;2;bta;bta2;office
bta2_9;3;bta;bta2;office
bta2_9;4;bta;bta2;office
bta2_9;5;bta;bta2;office
bta2_9;6;bta;bta2;office
bta2_9;7;bta;bta2;office
bta2_9;8;bta;bta2;office
bta2_9;9;bta;bta2;office
bta2_9;10;bta;bta2;office
bta2_9;11;bta;bta2;office
bta2_9;12;bta;bta2;office
dom2_9;1;dom;dom1_2;household
dom2_9;2;dom;dom1_2;household
dom2_9;3;dom;dom1_2;household
dom2_9;4;dom;dom1_2;household
dom2_9;5;dom;dom1_2;household
