user;month;x_f1;x_f2;x_f3
dom3_4;1;0.420323375;0.252786214;0.326890411
dom3_4;2;0.462281657;0.294028922;0.243689421
dom3_4;3;0.333473544;0.31679334;0.349733117
dom3_4;4;0.338319177;0.3627141;0.298966723
dom3_4;5;0.33276373;0.304041686;0.363194584
dom3_4;6;0.363707487;0.321518052;0.314774462
dom3_4;7;0.361178962;0.338825963;0.299995075
dom3_4;8;0.345032875;0.270035637;0.384931488
dom3_4;9;0.356481481;0.3580905;0.285428019
dom3_4;10;0.350086679;0.391438956;0.258474365
dom3_4;11;0.42280365;0.292489583;0.284706767
dom3_4;12;0.393681964;0.327945555;0.278372481
dom4_3;1;0.293316166;0.294424333;0.412259501
dom4_3;2;0.313303689;0.334975764;0.351720546
dom4_3;3;0.308682284;0.303277649;0.388040067
dom4_3;4;0.270971945;0.379768241;0.349259814
dom4_3;5;0.248692719;0.326340543;0.424966738
dom4_3;6;0.30399987;0.290487678;0.405512453
dom4_3;7;0.300730091;0.346350247;0.352919662
dom4_3;8;0.339020171;0.274624558;0.386355271
dom4_3;9;0.293774042;0.336169173;0.370056785
dom4_3;10;0.263400429;0.33259783;0.404001741
dom4_3;11;0.331501856;0.291654009;0.376844135
dom4_3;12;0.373199533;0.239935243;0.386865224
bta3_4;1;0.51215001;0.254722768;0.233127222
bta3_4;2;0.527204697;0.270705677;0.202089626
bta3_4;3;0.535037052;0.26898056;0.195982388
bta3_4;4;0.489490333;0.242397263;0.268112404
bta3_4;5;0.479842415;0.237619581;0.282538003
bta3_4;6;0.489489329;0.242398817;0.268111854
bta3_4;7;0.489907552;0.260351643;0.249740805
bta3_4;8;0.472267008;0.251065528;0.276667464
bta3_4;9;0.446583959;0.255242778;0.298173263
bta3_4;10;0.464673185;0.281164791;0.254162024
bta3_4;11;0.515794062;0.261332766;0.222873172
bta3_4;12;0.508687792;0.233471673;0.257840534
dom3_1;1;0.309540544;0.327226997;0.363232459
dom3_1;2;0.342362633;0.41150038;0.246136987
dom3_1;3;0.333393183;0.379606483;0.287000334
dom3_1;4;0.347784295;0.378749903;0.273465802
dom3_1;5;0.34531925;0.347711439;0.306969311
dom3_1;6;0.372726114;0.337407378;0.289866507
dom3_1;7;0.346468035;0.381225384;0.272306581
dom3_1;8;0.335361681;0.350029326;0.314608993
dom3_1;9;0.345639977;0.351351533;0.30300849
dom3_1;10;0.34832409;0.371561041;0.280114869
dom3_1;11;0.381347335;0.33390768;0.284744985
dom3_1;12;0.328818189;0.302402872;0.368778939
bta4_7;1;0.380513662;0.231394528;0.38809181
bta4_7;2;0.553115662;0.200862677;0.246021661
bta4_7;3;0.383874793;0.252264643;0.363860564
bta4_7;4;0.391729678;0.231637159;0.376633163
bta4_7;5;0.381603501;0.233758911;0.384637588
bta4_7;6;0.400202143;0.230443007;0.36935485
bta4_7;7;0.399307158;0.25411793;0.346574912
bta4_7;8;0.38167198;0.231477152;0.386850868
bta4_7;9;0.395556179;0.258494951;0.34594887
bta4_7;10;0.349968653;0.267908559;0.382122788
bta4_7;11;0.352493557;0.255306206;0.392200237
bta4_7;12;0.358977045;0.237497185;0.40352577
bta5_5;1;0.285083408;0.211696718;0.503219874
bta5_5;2;0.330465229;0.238698074;0.430836697
bta5_5;3;0.343483457;0.240275627;0.416240916
bta5_5;4;0.333036976;0.226057924;0.4409051
bta5_5;5;0.311431166;0.233402993;0.455165841
bta5_5;6;0.32832216;0.233340281;0.438337558
bta5_5;7;0.332360416;0.254077092;0.413562492
bta5_5;8;0.332889056;0.227485466;0.439625478
bta5_5;9;0.352926958;0.236192316;0.410880726
bta5_5;10;0.335764332;0.2456797;0.418555969
bta5_5;11;0.346627966;0.237603682;0.415768352
bta5_5;12;0.350145863;0.203084309;0.446769828
bta2_c2;2;0.396892983;0.229000232;0.374106785
bta2_c2;3;0.81221412;0.074393634;0.113392246
bta2_c2;4;0.866565205;0.050592297;0.082842498
bta2_c2;5;0.708144406;0.101697111;0.190158483
bta2_c2;6;0.47059026;0.250714163;0.278695577
bta2_c2;7;0.55586184;0.166489538;0.277648622
bta2_c2;8;0.431035055;0.197161145;0.371803801
bta2_c2;9;0.362109455;0.230038799;0.407851746
bta2_c2;12;0.35070295;0.209686868;0.439610182
bta1_4;1;0.369457313;0.232627399;0.397915288
bta1_4;2;0.382215289;0.246316519;0.371468192
bta1_4;3;0.329706766;0.254274168;0.416019065
bta1_4;4;0.324562864;0.234637802;0.440799334
bta1_4;5;0.320916433;0.230097247;0.448986319
bta1_4;6;0.330383006;0.237206308;0.432410686
bta1_4;7;0.334796238;0.25815047;0.407053292
bta1_4;8;0.353283792;0.22394055;0.422775658
bta1_4;9;0.590284006;0.266666667;0.143049327
bta1_4;10;0.464211154;0.315389204;0.220399642
bta1_4;12;0.421989871;0.217284757;0.360725372
bta1_5;1;0.286784025;0.270493957;0.442722018
bta1_5;2;0.359205426;0.27625969;0.364534884
bta1_5;3;0.295416415;0.315012415;0.38957117
bta1_5;4;0.304333971;0.256373486;0.439292543
bta1_5;5;0.29143205;0.252625171;0.455942779
bta1_5;6;0.299503414;0.255121043;0.445375543
bta1_5;7;0.311172245;0.269142595;0.41968516
bta1_5;8;0.306088533;0.249282369;0.444629098
bta1_5;9;0.302908277;0.275913497;0.421178225
bta1_5;10;0.273555814;0.302062633;0.424381553
bta1_5;11;0.314639577;0.271639299;0.413721124
bta1_5;12;0.320187427;0.249511909;0.430300664
bta4_10;1;0.422945828;0.242944465;0.334109707
bta4_10;2;0.437615634;0.267524352;0.294860013
bta4_10;3;0.442159138;0.248077738;0.309763125
bta4_10;4;0.430622313;0.262431675;0.306946012
bta4_10;5;0.409233585;0.249787142;0.340979273
bta4_10;6;0.418162281;0.265091528;0.316746191
bta4_10;7;0.453009338;0.254680923;0.292309739
bta4_10;8;0.440009538;0.239498192;0.32049227
bta4_10;9;0.432307769;0.278024334;0.289667897
bta4_10;10;0.420983997;0.285098205;0.293917798
bta4_10;11;0.434185937;0.257294521;0.308519542
bta4_10;12;0.455211466;0.222294553;0.322493981
dom4_1;1;0.28062855;0.339479746;0.379891704
dom4_1;2;0.335321811;0.364106182;0.300572007
dom4_1;3;0.294017759;0.326214289;0.379767952
dom4_1;4;0.271196973;0.384159158;0.344643869
dom4_1;5;0.259989049;0.322847643;0.417163309
dom4_1;6;0.310439377;0.292124848;0.397435775
dom4_1;7;0.325428195;0.253952569;0.420619236
dom4_1;8;0.409290596;0.180442564;0.41026684
dom4_1;9;0.313722573;0.309348093;0.376929334
dom4_1;10;0.247912285;0.361268613;0.390819102
dom4_1;11;0.302135802;0.39628181;0.301582388
dom4_1;12;0.359187191;0.297779281;0.343033529
bta6_c5;1;0.269945295;0.335903367;0.394151338
bta6_c5;2;0.271119302;0.364705281;0.364175417
bta6_c5;3;0.291398721;0.404940026;0.303661253
bta6_c5;4;0.178631439;0.407961064;0.413407498
bta6_c5;5;0.20906268;0.44975406;0.34118326
bta6_c5;6;0.286877943;0.333651521;0.379470536
bta6_c5;7;0.222792778;0.345991386;0.431215836
bta6_c5;8;0.270729214;0.350806452;0.378464334
bta6_c5;9;0.296447676;0.360792093;0.342760231
bta6_c5;10;0.222330991;0.372872873;0.404796135
bta6_c5;11;0.210644075;0.38425763;0.405098296
bta6_c5;12;0.266772439;0.336060743;0.397166818
bta1_7;6;0.786266698;0.171549098;0.042184204
bta4_3;1;0.399910143;0.242727171;0.357362687
bta4_3;2;0.424082514;0.264811705;0.311105781
bta4_3;3;0.441262785;0.259850675;0.298886539
bta4_3;4;0.446331289;0.253675549;0.299993162
bta4_3;5;0.380724552;0.245855483;0.373419965
bta4_3;6;0.406552134;0.262545737;0.33090213
bta4_3;7;0.408979369;0.289761883;0.301258748
bta4_3;8;0.411660734;0.256118817;0.332220449
bta4_3;9;0.427887212;0.270255676;0.301857113
bta4_3;10;0.41301355;0.270684319;0.316302131
bta4_3;11;0.429642308;0.253677665;0.316680027
bta4_3;12;0.432248891;0.234608773;0.333142336
bta2_4;1;0.276273726;0.224575425;0.499150849
bta2_4;2;0.298886018;0.25065688;0.450457102
bta2_4;3;0.299314821;0.255594917;0.445090261
bta2_4;4;0.307116867;0.220037517;0.472845617
bta2_4;5;0.248881392;0.21999672;0.531121888
bta2_4;6;0.258187747;0.251688796;0.490123457
bta2_4;7;0.282129716;0.256660903;0.461209381
bta2_4;8;0.253152388;0.230884457;0.515963155
bta2_4;9;0.269016953;0.267558344;0.463424703
bta2_4;10;0.260993754;0.310468314;0.428537932
bta2_4;11;0.336982832;0.266498886;0.396518282
bta2_4;12;0.312986206;0.225851437;0.461162357
bta6_c6;1;0.290899016;0.213614044;0.49548694
bta6_c6;2;0.27143817;0.226805913;0.501755917
bta6_c6;3;0.311191729;0.210427386;0.478380885
bta6_c6;4;0.261354637;0.192884042;0.545761321
bta6_c6;5;0.508915424;0.122776981;0.368307595
bta6_c6;6;0.6278524;0.121436061;0.250711539
bta6_c6;7;0.66398159;0.13652041;0.199498
bta6_c6;8;0.606666146;0.148505191;0.244828663
bta6_c6;9;0.740994418;0.111172203;0.147833379
bta6_c6;10;0.347387833;0.190963052;0.461649114
bta6_c6;11;0.322434686;0.219175271;0.458390043
bta6_c6;12;0.312376411;0.207726572;0.479897017
bta6l_3;1;0.477519524;0.340778239;0.181702237
bta6l_3;2;0.494551031;0.357636958;0.147812011
bta6l_3;3;0.516448719;0.34407624;0.139475041
bta6l_3;4;0.47352829;0.357123774;0.169347936
bta6l_3;5;0.417838891;0.36497363;0.217187479
bta6l_3;6;0.393643902;0.342294004;0.264062094
bta6l_3;7;0.379673045;0.369623142;0.250703813
bta6l_3;8;0.384224443;0.374182318;0.241593239
bta6l_3;9;0.431985159;0.372095479;0.195919362
bta6l_3;10;0.447928291;0.379638672;0.172433038
bta6l_3;11;0.472046962;0.359489144;0.168463894
bta6l_3;12;0.498738273;0.328333921;0.172927805
bta6_c4;1;0.48165405;0.202065877;0.316280073
bta6_c4;2;0.531303925;0.206946062;0.261750013
bta6_c4;3;0.55361549;0.182543959;0.263840551
bta6_c4;4;0.514481088;0.183416488;0.302102424
bta6_c4;5;0.693438987;0.127315366;0.179245647
bta6_c4;6;0.472973822;0.179643979;0.347382199
bta6_c4;7;0.321576126;0.24369174;0.434732134
bta6_c4;8;0.333031871;0.22731252;0.439655609
bta6_c4;9;0.610615219;0.160938244;0.228446537
bta6_c4;10;0.56421446;0.164769204;0.271016336
bta6_c4;11;0.549562717;0.182307543;0.26812974
bta6_c4;12;0.505318818;0.188923745;0.305757437
dom3_9;1;0.44546131;0.235496121;0.319042569
dom3_9;2;0.461188425;0.291124169;0.247687406
dom3_9;3;0.460238188;0.319510772;0.22025104
dom3_9;4;0.407616891;0.354243192;0.238139917
dom3_9;5;0.395290636;0.37250677;0.232202594
dom3_9;6;0.395648732;0.292664826;0.311686442
dom3_9;7;0.375620492;0.240359715;0.384019793
dom3_9;8;0.334832485;0.30158828;0.363579235
dom3_9;9;0.400007895;0.324395804;0.275596301
dom3_9;10;0.441600923;0.337577172;0.220821905
dom3_9;11;0.431452849;0.290235409;0.278311743
dom3_9;12;0.452709979;0.226825236;0.320464785
bta2_c1;1;0.111187293;0.259656039;0.629156668
bta2_c1;2;0.061642116;0.307164379;0.631193505
bta2_c1;3;0.037492052;0.299362143;0.663145805
bta2_c1;4;0.01553258;0.230680452;0.753786968
bta2_c1;5;0.014324837;0.196123868;0.789551295
bta2_c1;6;0.015064432;0.160868776;0.824066792
bta2_c1;7;0.014228342;0.161101549;0.824670109
bta2_c1;8;0.014161997;0.204584819;0.781253184
bta2_c1;9;0.017881952;0.288441716;0.693676332
bta2_c1;10;0.039760745;0.311912887;0.648326368
bta2_c1;11;0.130888951;0.277411666;0.591699383
bta2_c1;12;0.147942951;0.263933077;0.588123972
bta2_9;1;0.754495181;0.129489322;0.116015497
bta2_9;2;0.772231192;0.138861685;0.088907123
bta2_9;3;0.835092136;0.107748936;0.057158928
bta2_9;4;0.81356397;0.09923385;0.08720218
bta2_9;5;0.733023971;0.111419382;0.155556647
bta2_9;6;0.693201109;0.166914949;0.139883942
bta2_9;7;0.690716845;0.151330673;0.157952482
bta2_9;8;0.641737926;0.164580085;0.193681989
bta2_9;9;0.773938732;0.121884089;0.104177179
bta2_9;10;0.725124499;0.145361313;0.129514188
bta2_9;11;0.789264935;0.116905429;0.093829636
bta2_9;12;0.812127563;0.093112357;0.09476008
dom2_9;1;0.322116687;0.320809893;0.357073419
dom2_9;2;0.378758583;0.331333574;0.289907842
dom2_9;3;0.369171864;0.366807527;0.264020609
dom2_9;4;0.486136372;0.175234772;0.338628856
dom2_9;5;0.41248238;0.187964808;0.399552812
dom2_9;6;0.339913081;0.23013635;0.429950569
dom2_9;7;0.347161047;0.248858813;0.403980139
dom2_9;8;0.328252164;0.237566206;0.43418163
dom2_9;9;0.392457924;0.285443118;0.322098958
dom2_9;10;0.316179321;0.385738442;0.298082237
dom2_9;11;0.388984945;0.281745967;0.329269088
dom2_9;12;0.430701842;0.21613669;0.353161467
bta2_5;4;0.76412173;0.193400961;0.042477309
bta2_c5;1;0.279895195;0.22298964;0.497115165
bta2_c5;2;0.304891853;0.233715085;0.461393062
bta2_c5;3;0.323148282;0.23787276;0.438978957
bta2_c5;4;0.278886404;0.235625404;0.485488192
bta2_c5;5;0.31329835;0.231171891;0.455529759
bta2_c5;6;0.310508755;0.230882962;0.458608282
bta2_c5;7;0.298410357;0.24286401;0.458725633
bta2_c5;8;0.311273152;0.231388154;0.457338695
bta2_c5;9;0.315193354;0.24180002;0.443006626
bta2_c5;10;0.29252805;0.251899641;0.455572309
bta2_c5;11;0.297521653;0.242993099;0.459485247
bta2_c5;12;0.304340304;0.215941294;0.479718402
dom4_2;1;0.281079492;0.259640292;0.459280216
dom4_2;2;0.32838051;0.278866108;0.392753383
dom4_2;3;0.312442517;0.285497711;0.402059772
dom4_2;4;0.303681228;0.271189165;0.425129607
dom4_2;5;0.305258972;0.259667959;0.435073069
dom4_2;6;0.30308075;0.268775369;0.428143881
dom4_2;7;0.30628433;0.282231927;0.411483743
dom4_2;8;0.295414747;0.268229654;0.436355599
dom4_2;9;0.310136128;0.281774557;0.408089315
dom4_2;10;0.285610156;0.303832837;0.410557007
dom4_2;11;0.317312711;0.275031416;0.407655872
dom4_2;12;0.344852412;0.23852921;0.416618378
bta5_2;1;0.298755499;0.253428171;0.44781633
bta5_2;2;0.331172416;0.269890968;0.398936617
bta5_2;3;0.335558726;0.274611494;0.38982978
bta5_2;4;0.327690028;0.264018825;0.408291147
bta5_2;5;0.318256711;0.249018223;0.432725066
bta5_2;6;0.31411216;0.253480665;0.432407175
bta5_2;7;0.323877384;0.274249629;0.401872987
bta5_2;8;0.313788206;0.25200802;0.434203774
bta5_2;9;0.314510256;0.280532554;0.40495719
bta5_2;10;0.2940696;0.298179247;0.407751153
bta5_2;11;0.325686511;0.277026317;0.397287172
bta5_2;12;0.341291878;0.243123003;0.415585119
bta3_10;1;0.588204795;0.29778573;0.114009475
bta3_10;2;0.557377433;0.336293323;0.106329244
bta3_10;3;0.56002317;0.325388855;0.114587975
bta3_10;4;0.565807422;0.303059169;0.131133409
bta3_10;5;0.532315796;0.321219147;0.146465057
bta3_10;6;0.475742175;0.354292447;0.169965378
bta3_10;7;0.459770071;0.370975058;0.169254871
bta3_10;8;0.52360849;0.330295076;0.146096434
bta3_10;9;0.5492469;0.350639372;0.100113728
bta3_10;10;0.538785796;0.374754278;0.086459926
bta3_10;11;0.597718149;0.308354279;0.093927572
bta3_10;12;0.608585774;0.295785658;0.095628568
bta5_c1;1;0.361697317;0.192850703;0.445451979
bta5_c1;2;0.352744715;0.231547052;0.415708233
bta5_c1;3;0.396363808;0.216231172;0.387405021
bta5_c1;4;0.314772289;0.22015794;0.465069771
bta5_c1;5;0.342922079;0.212105377;0.444972544
bta5_c1;6;0.32265819;0.22544098;0.45190083
bta5_c1;7;0.306071892;0.252037727;0.441890381
bta5_c1;8;0.320655503;0.228832704;0.450511793
bta5_c1;9;0.325757783;0.246591231;0.427650986
bta5_c1;10;0.368078329;0.223917818;0.408003853
bta5_c1;11;0.352491186;0.217731216;0.429777598
